Feature,Importance
S1_rms,0.15854737
S1_std,0.13233405
S2_p2p,0.12834698
S1_shape,0.12479144
S3_p2p,0.11876947
S3_var,0.11531724
S2_shape,0.11440167
S4_std,0.114194915
S1_p2p,0.11034849
S4_var,0.108767904
S3_std,0.107277974
S3_mean,0.1065752
S2_rms,0.105003715
S2_kurt,0.10394052
S1_var,0.09813264
S2_std,0.095855445
S3_shape,0.09563255
S3_skew,0.09355882
S2_skew,0.093011655
S4_rms,0.09232743
S2_crest,0.09132115
S1_crest,0.088903084
S1_impulse,0.08509473
S4_skew,0.08274785
S4_mean,0.082600415
S2_impulse,0.07897092
S4_shape,0.07863139
S3_rms,0.07845738
S2_var,0.07406102
S3_crest,0.07080995
S2_mean,0.06710027
S1_skew,0.065267265
S1_kurt,0.064670734
S1_mean,0.058486253
S4_p2p,0.05748505
S4_impulse,0.05710295
S4_crest,0.05203092
S3_impulse,0.046880804
S4_kurt,0.038912877
S3_kurt,0.03627415
