Feature,Importance
S1_rms,0.15191734
S2_p2p,0.1268763
S1_std,0.12672879
S2_shape,0.12464365
S1_shape,0.11993216
S3_p2p,0.11701971
S4_std,0.11199353
S3_var,0.11123088
S4_var,0.108187154
S1_p2p,0.10681182
S3_std,0.103928596
S3_mean,0.101908326
S1_crest,0.0987853
S1_impulse,0.0979176
S2_kurt,0.09712776
S1_var,0.09693636
S3_shape,0.09613744
S2_rms,0.09426931
S4_rms,0.09158021
S2_crest,0.09102142
S4_skew,0.08784254
S2_std,0.08649874
S4_mean,0.081673145
S1_kurt,0.0813019
S2_impulse,0.08082865
S3_skew,0.08024748
S2_skew,0.07853249
S3_rms,0.07616398
S1_skew,0.070958994
S4_shape,0.0709443
S2_var,0.06861119
S3_crest,0.06835603
S1_mean,0.06320461
S4_p2p,0.05575917
S2_mean,0.053680584
S4_impulse,0.052743703
S4_crest,0.047745846
S3_impulse,0.04750853
S4_kurt,0.036023878
S3_kurt,0.033684064
