Feature,Importance
S1_rms,0.1609149
S1_std,0.13457957
S1_shape,0.12798193
S2_p2p,0.117717266
S2_shape,0.114733994
S3_var,0.11183418
S3_p2p,0.109312
S4_std,0.108888105
S1_var,0.10780705
S1_p2p,0.10308911
S3_std,0.10258394
S4_var,0.10251834
S3_mean,0.09909594
S4_skew,0.08717389
S3_shape,0.08646723
S4_rms,0.0855991
S2_rms,0.08244716
S1_skew,0.08185823
S4_mean,0.081445724
S3_skew,0.08131291
S2_skew,0.08116351
S2_std,0.078616634
S3_rms,0.07578918
S2_crest,0.07558304
S1_impulse,0.07332864
S1_crest,0.07317038
S2_impulse,0.072010525
S3_crest,0.07165668
S1_mean,0.07083647
S1_kurt,0.069906205
S4_shape,0.06940025
S2_kurt,0.064781815
S2_var,0.062423617
S2_mean,0.06132204
S4_p2p,0.054646518
S3_impulse,0.04779748
S4_impulse,0.047516212
S4_crest,0.04391481
S3_kurt,0.032497995
S4_kurt,0.030405082
