Model,W,Fold,Accuracy,Precision,Recall,F1
DT,300,1,95.69093610698366,95.69356120826708,95.68952574406076,95.69069824951866
RF,300,1,98.6627043090639,98.6656509450627,98.66135299832199,98.66263049122993
SVM,300,1,99.10846953937593,99.10890914229194,99.10977656098208,99.10846757100467
NB,300,1,86.2555720653789,86.62971244368252,86.27815066678441,86.2253954784602
KNN,300,1,97.32540861812778,97.35390012016683,97.33131678883689,97.3251960176024
GBC,300,1,99.03417533432392,99.03417533432392,99.03514969531044,99.03417053640572
LR,300,1,98.5884101040119,98.58817685047192,98.58871323854103,98.58839062511213
DT,300,2,96.65676077265974,96.65676077265974,96.65768789190143,96.65674416448134
RF,300,2,98.29123328380386,98.2923221283877,98.29285525037534,98.29123234062753
SVM,300,2,99.03417533432392,99.03608578626739,99.03316258941976,99.03413215134395
NB,300,2,87.22139673105498,87.52936935974796,87.24167623421354,87.19923918212078
KNN,300,2,97.47399702823179,97.4854697381903,97.47792104565927,97.47394683387796
GBC,300,2,98.6627043090639,98.66248057086337,98.66334010421266,98.66269249875808
LR,300,2,98.6627043090639,98.6684273751899,98.66069062969179,98.6625980088012
DT,300,3,96.80297397769517,96.80716257098881,96.80095258311884,96.80271947131956
RF,300,3,98.81040892193309,98.81062937805137,98.81192453631226,98.81040300362186
SVM,300,3,99.47955390334573,99.47938778037218,99.48070068370171,99.47954930019695
NB,300,3,85.87360594795538,85.95937304742027,85.8863799188049,85.86791100572032
KNN,300,3,97.9182156133829,97.94611610322843,97.92512449031938,97.91807636005007
GBC,300,3,98.88475836431226,98.89015669156572,98.88821078886619,98.88475589835608
LR,300,3,99.182156133829,99.18198984645865,99.1832948585277,99.1821489003095
DT,300,4,95.68773234200744,95.73448541522767,95.679876349935,95.68599388595673
RF,300,4,98.364312267658,98.39745859483575,98.35807661350952,98.36383381550193
SVM,300,4,99.62825278810409,99.63289280469898,99.62630792227205,99.62822319433948
NB,300,4,87.50929368029739,87.62165625429537,87.52365979427034,87.50265477328236
KNN,300,4,97.69516728624535,97.70400265369305,97.69936140667429,97.69514690087225
GBC,300,4,98.7360594795539,98.74806458748064,98.73254260974164,98.73588059061163
LR,300,4,98.88475836431226,98.89261433253861,98.88201944083282,98.88463751963286
DT,300,5,96.13382899628253,96.15461181154612,96.13991562077109,96.13365587878894
RF,300,5,99.03345724907064,99.0342816205053,99.03536586444486,99.0334551119086
SVM,300,5,99.33085501858736,99.3306888134154,99.3319977711147,99.33084910025323
NB,300,5,87.58364312267658,87.71542641676832,87.5991721283201,87.57570377057186
KNN,300,5,97.76951672862454,97.77339707586304,97.77255198521154,97.76951549564848
GBC,300,5,99.10780669144982,99.11174696397455,99.11087819849462,99.1078061982594
LR,300,5,99.03345724907064,99.03329087950188,99.03459194594069,99.03344870036578
DT,400,1,98.1169474727453,98.11754443868169,98.11641009924799,98.11688088444028
RF,400,1,99.20713577799802,99.2121126384206,99.20515177946989,99.20707269155207
SVM,400,1,99.60356788899901,99.60530451866406,99.60257588973495,99.60354880789602
NB,400,1,91.0802775024777,91.13837160817265,91.08988110673675,91.0783057721328
KNN,400,1,98.90981169474728,98.91591355599215,98.91322284825196,98.9098074114237
