Model,W,Accuracy,Precision,Recall,F1
DT,300,96.19 ± 0.47,96.21 ± 0.46,96.19 ± 0.47,96.19 ± 0.47
RF,300,98.63 ± 0.28,98.64 ± 0.27,98.63 ± 0.28,98.63 ± 0.28
SVM,300,99.32 ± 0.22,99.32 ± 0.22,99.32 ± 0.22,99.32 ± 0.22
NB,300,86.89 ± 0.69,87.09 ± 0.69,86.91 ± 0.69,86.87 ± 0.70
KNN,300,97.64 ± 0.21,97.65 ± 0.21,97.64 ± 0.21,97.64 ± 0.21
GBC,300,98.89 ± 0.17,98.89 ± 0.17,98.89 ± 0.17,98.89 ± 0.17
LR,300,98.87 ± 0.22,98.87 ± 0.22,98.87 ± 0.22,98.87 ± 0.22
DT,400,97.30 ± 0.70,97.31 ± 0.70,97.30 ± 0.70,97.30 ± 0.70
RF,400,99.19 ± 0.07,99.19 ± 0.08,99.19 ± 0.07,99.19 ± 0.07
SVM,400,99.76 ± 0.16,99.76 ± 0.16,99.76 ± 0.16,99.76 ± 0.16
NB,400,89.75 ± 0.73,89.87 ± 0.71,89.76 ± 0.72,89.74 ± 0.73
KNN,400,98.61 ± 0.21,98.62 ± 0.21,98.62 ± 0.21,98.61 ± 0.21
GBC,400,99.50 ± 0.18,99.51 ± 0.18,99.50 ± 0.18,99.50 ± 0.18
LR,400,99.52 ± 0.10,99.53 ± 0.10,99.52 ± 0.10,99.52 ± 0.10
DT,500,97.89 ± 0.25,97.89 ± 0.25,97.89 ± 0.25,97.89 ± 0.25
RF,500,99.58 ± 0.10,99.58 ± 0.10,99.58 ± 0.10,99.58 ± 0.10
SVM,500,99.80 ± 0.22,99.80 ± 0.22,99.80 ± 0.21,99.80 ± 0.22
NB,500,92.18 ± 1.38,92.29 ± 1.31,92.20 ± 1.38,92.18 ± 1.39
KNN,500,99.01 ± 0.54,99.02 ± 0.52,99.01 ± 0.53,99.01 ± 0.54
GBC,500,99.45 ± 0.23,99.45 ± 0.23,99.46 ± 0.23,99.45 ± 0.23
LR,500,99.83 ± 0.13,99.83 ± 0.13,99.83 ± 0.13,99.83 ± 0.13
DT,600,97.68 ± 0.60,97.69 ± 0.60,97.68 ± 0.60,97.68 ± 0.60
RF,600,99.67 ± 0.22,99.67 ± 0.22,99.67 ± 0.22,99.67 ± 0.22
SVM,600,99.91 ± 0.18,99.91 ± 0.18,99.91 ± 0.18,99.91 ± 0.18
NB,600,94.67 ± 0.49,94.70 ± 0.47,94.68 ± 0.49,94.67 ± 0.49
KNN,600,98.96 ± 0.31,98.97 ± 0.31,98.96 ± 0.31,98.96 ± 0.31
GBC,600,99.61 ± 0.12,99.61 ± 0.12,99.61 ± 0.12,99.61 ± 0.12
LR,600,99.91 ± 0.12,99.91 ± 0.12,99.91 ± 0.12,99.91 ± 0.12
DT,700,97.88 ± 0.72,97.89 ± 0.72,97.88 ± 0.72,97.88 ± 0.72
RF,700,99.69 ± 0.13,99.69 ± 0.13,99.69 ± 0.13,99.69 ± 0.13
SVM,700,99.90 ± 0.09,99.90 ± 0.08,99.90 ± 0.09,99.90 ± 0.09
NB,700,95.69 ± 0.77,95.70 ± 0.77,95.69 ± 0.77,95.69 ± 0.77
KNN,700,99.10 ± 0.20,99.10 ± 0.20,99.10 ± 0.20,99.10 ± 0.20
GBC,700,99.83 ± 0.11,99.83 ± 0.11,99.83 ± 0.11,99.83 ± 0.11
LR,700,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00
DT,800,98.29 ± 0.39,98.30 ± 0.39,98.29 ± 0.39,98.29 ± 0.39
RF,800,99.68 ± 0.10,99.68 ± 0.10,99.68 ± 0.10,99.68 ± 0.10
SVM,800,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00
NB,800,97.62 ± 0.33,97.62 ± 0.33,97.62 ± 0.33,97.62 ± 0.33
KNN,800,99.60 ± 0.18,99.60 ± 0.18,99.60 ± 0.18,99.60 ± 0.18
GBC,800,99.40 ± 0.28,99.41 ± 0.28,99.40 ± 0.28,99.40 ± 0.28
LR,800,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00
