Model,W,Fold,Accuracy,Precision,Recall,F1
KAN,300,1,98.88558692421992,98.88668101782856,98.88722070122759,98.88558630910491
MLP,300,1,97.5482912332838,97.55766067150255,97.55188554270069,97.54825740151051
KAN,300,2,98.95988112927192,98.96285991874227,98.95853572374813,98.95982371540106
MLP,300,2,98.14264487369985,98.1467987148488,98.14095204451118,98.14252081729084
KAN,300,3,98.81040892193309,98.81007133159684,98.81115061780808,98.81039248203427
MLP,300,3,97.76951672862454,97.77649519917561,97.77332590371569,97.76950563179099
KAN,300,4,98.95910780669145,98.97361936320159,98.95521001937007,98.95894149284362
MLP,300,4,98.14126394052045,98.14167823879568,98.14082663341028,98.14119817950746
KAN,300,5,99.182156133829,99.18186843559977,99.18252094002354,99.18213985823022
MLP,300,5,97.76951672862454,97.77255639097744,97.7679084741865,97.76936752862507
KAN,400,1,99.60356788899901,99.60355815397189,99.60355815397189,99.60355815397189
MLP,400,1,98.31516352824579,98.31485395924847,98.31561328649899,98.31513704920609
KAN,400,2,99.50445986124876,99.50475404683326,99.50592108882026,99.5044579142835
MLP,400,2,98.90981169474728,98.91591355599215,98.91322284825196,98.9098074114237
KAN,400,3,99.60356788899901,99.60530451866406,99.60257588973495,99.60354880789602
MLP,400,3,98.41427155599604,98.41911678023247,98.41226808741365,98.41414538310413
KAN,400,4,99.50445986124876,99.50512361104562,99.50395656034638,99.5044423380106
MLP,400,4,98.51337958374629,98.51367279585102,98.51481647374997,98.51337374285049
KAN,400,5,99.50396825396825,99.50592885375494,99.5069033530572,99.5039677657783
MLP,400,5,98.31349206349206,98.31889763779527,98.31756605132928,98.31349040364623
KAN,500,1,98.75930521091811,98.76477832512316,98.76477832512316,98.75930521091811
MLP,500,1,98.26302729528535,98.2642480665977,98.26662561576354,98.26301660016748
KAN,500,2,99.75186104218362,99.75429975429975,99.75062344139651,99.7518472906404
MLP,500,2,98.63523573200993,98.63608374384236,98.63458637357225,98.63518320964393
KAN,500,3,99.50372208436724,99.50617283950618,99.50617283950618,99.50372208436724
MLP,500,3,97.51861042183623,97.51861042183623,97.51978079492628,97.5185951430964
KAN,500,4,99.62779156327544,99.62748140485691,99.62839814045135,99.62778640666106
MLP,500,4,99.0074441687345,99.00741972229919,99.00741972229919,99.00741972229919
KAN,500,5,99.75186104218362,99.75185493057481,99.75185493057481,99.75185493057481
MLP,500,5,98.01488833746899,98.02208223260855,98.01853391213325,98.01487611447712
KAN,600,1,99.25595238095238,99.25550290092563,99.25681182014668,99.25593755190167
MLP,600,1,98.36309523809523,98.37823710253298,98.36923785564964,98.36306261418369
KAN,600,2,98.95833333333334,98.9578812170601,98.95918222726145,98.95831257266235
MLP,600,2,96.72619047619048,96.7764814355119,96.73670410657974,96.72572643515238
KAN,600,3,99.40476190476191,99.41002949852506,99.40652818991099,99.40475663226893
MLP,600,3,98.51190476190477,98.55072463768116,98.51632047477746,98.51169383416017
KAN,600,4,100.0,100.0,100.0,100.0
MLP,600,4,97.17261904761905,97.18107725017717,97.17480845032995,97.17256269722637
KAN,600,5,99.85096870342772,99.85207100591715,99.8502994011976,99.85096340718529
MLP,600,5,99.2548435171386,99.25591271745118,99.25416229854831,99.25481703592648
KAN,700,1,99.30555555555556,99.30554718300519,99.30554718300519,99.30554718300519
MLP,700,1,97.04861111111111,97.04861111111111,97.04917835139794,97.0486022153568
KAN,700,2,99.47916666666666,99.47916666666667,99.47976321087977,99.47916509682767
MLP,700,2,97.22222222222221,97.25435792267326,97.22701132102769,97.22192078133477
KAN,700,3,99.47826086956522,99.47973381730188,99.47733926972681,99.47823561971997
MLP,700,3,96.86956521739131,96.96969696969697,96.88218356038425,96.86841914167454
KAN,700,4,100.0,100.0,100.0,100.0
MLP,700,4,97.56521739130434,97.59544387149877,97.57241028867327,97.56503327283727
KAN,700,5,100.0,100.0,100.0,100.0
MLP,700,5,99.1304347826087,99.13313330268348,99.13313330268348,99.1304347826087
KAN,800,1,99.8015873015873,99.8015873015873,99.80237154150198,99.80158652048108
MLP,800,1,98.4126984126984,98.4219229860619,98.41582287450987,98.41267341700393
KAN,800,2,100.0,100.0,100.0,100.0
MLP,800,2,98.80952380952381,98.84169884169884,98.80478087649402,98.80922379032258
KAN,800,3,99.80119284294234,99.800796812749,99.80237154150198,99.8011896998083
MLP,800,3,98.60834990059642,98.60794915575792,98.60948616600791,98.60832789865812
KAN,800,4,99.80119284294234,99.80314960629921,99.8,99.80118026980985
MLP,800,4,98.80715705765407,98.80794283184721,98.80948616600791,98.80715234300892
KAN,800,5,99.80119284294234,99.8015873015873,99.8015873015873,99.80119284294234
MLP,800,5,98.80715705765407,98.80715234300892,98.80715234300892,98.80715234300892
