Feature,Importance
S1_rms,0.28882006
S1_std,0.28729966
S4_mean,0.24880868
S1_p2p,0.24483876
S1_var,0.22706829
S2_shape,0.1736026
S2_rms,0.15317823
S1_shape,0.1530167
S2_std,0.15272583
S4_rms,0.15152045
S4_std,0.14896911
S1_mean,0.1483543
S2_p2p,0.14753024
S2_skew,0.14562158
S4_p2p,0.1447143
S2_var,0.12290499
S2_kurt,0.1190006
S3_skew,0.116096616
S4_skew,0.1135921
S3_shape,0.11332046
S3_mean,0.10670082
S4_shape,0.10255494
S4_margin,0.09726787
S4_crest,0.09477706
S4_impulse,0.094351195
S2_crest,0.08694192
S4_kurt,0.08646862
S4_var,0.083973534
S3_p2p,0.08273501
S1_skew,0.08011231
S2_mean,0.07912818
S3_kurt,0.077182256
S2_margin,0.0720486
S3_crest,0.07143345
S3_rms,0.069740064
S3_std,0.06767818
S2_impulse,0.059070155
S1_kurt,0.05837796
S1_margin,0.057566285
S3_var,0.055398606
S3_margin,0.054763045
S1_impulse,0.045972764
S3_impulse,0.04491972
S1_crest,0.038290672
