Feature,Index,Importance
S1_rms,1,0.27632585
S1_std,2,0.27605927
S1_p2p,6,0.2236547
S1_var,3,0.21468893
S4_mean,33,0.2133532
S1_shape,8,0.1572155
S2_shape,19,0.14703517
S2_p2p,17,0.14096263
S3_mean,22,0.12752081
S4_rms,34,0.1272119
S4_p2p,39,0.12343631
S2_skew,15,0.12212439
S3_skew,26,0.120900795
S4_std,35,0.119059704
S2_rms,12,0.11813945
S2_std,13,0.117516965
S1_mean,0,0.11390994
S2_var,14,0.10858113
S2_kurt,16,0.10838997
S3_shape,30,0.10601092
S4_shape,41,0.10353275
S4_var,36,0.091854565
S4_crest,40,0.086314276
S3_p2p,28,0.08631422
S1_skew,4,0.08607204
S3_std,24,0.08479169
S3_kurt,27,0.081782945
S3_rms,23,0.07860854
S4_skew,37,0.07823429
S2_margin,20,0.077138245
S4_impulse,43,0.07466238
S4_kurt,38,0.07078039
S4_margin,42,0.06945127
S3_crest,29,0.06576266
S2_mean,11,0.065405875
S2_impulse,21,0.06270781
S1_kurt,5,0.060333837
S3_var,25,0.057248045
S2_crest,18,0.05201838
S1_margin,9,0.044151165
S3_impulse,32,0.04241795
S3_margin,31,0.039828416
S1_impulse,10,0.034715667
S1_crest,7,0.030098254
