ablation,variant,metric,value
Reg,lambda=0,symb_quality_%,98.66666666666667
Reg,lambda=1e-4,symb_quality_%,100.0
Bottleneck,B=4,AUC_scoreA,0.9249207920792079
Bottleneck,B=5,AUC_scoreA,0.9241782178217822
Bottleneck,B=6,AUC_scoreA,0.9621287128712871
Bottleneck,B=7,AUC_scoreA,0.9256105610561056
Bottleneck,B=8,AUC_scoreA,0.9671221122112211
Bottleneck,B=9,AUC_scoreA,0.9478448844884488
Bottleneck,B=10,AUC_scoreA,0.9383531353135314
Bottleneck,B=11,AUC_scoreA,0.9327920792079207
Bottleneck,B=12,AUC_scoreA,0.9298118811881187
Scoring,ScoreA,AUC_W1000,0.9671221122112211
Scoring,ScoreB,AUC_W1000,0.9171155115511551
Scoring,ScoreC,AUC_W1000,0.9738514851485149
Scoring,ScoreD,AUC_W1000,0.9322887788778877
Scoring,ScoreE,AUC_W1000,0.9728943894389439
Scoring,ScoreM,AUC_W1000,0.9500726072607262
Scoring,ScoreF,AUC_W1000,0.9691617161716171
Scoring,SHAP-Wtd,AUC_W1000,0.9949042904290429
Scoring,LIME-Wtd,AUC_W1000,0.9347788778877888
