feature,surviving_edges,mean_norm
S4_impulse,22,0.110143185
S1_kurt,22,0.15103671
S1_p2p,22,0.15212004
S4_std,22,0.122279294
S1_margin,22,0.1598181
S2_p2p,21,0.14439617
S4_shape,21,0.10359683
S4_rms,21,0.11506005
S3_rms,21,0.13381054
S2_margin,21,0.13895959
S4_kurt,20,0.09147953
S4_skew,20,0.099487096
S3_skew,20,0.088967085
S3_var,20,0.11830434
S2_shape,20,0.1213006
S3_mean,20,0.10844484
S1_crest,20,0.1130682
S2_var,20,0.101142354
S1_var,20,0.110143855
S2_mean,20,0.09198442
S1_skew,20,0.104187004
S1_shape,19,0.120482855
S2_impulse,19,0.10347653
S1_rms,19,0.11577332
S4_p2p,19,0.102646165
S3_impulse,19,0.11394389
S2_skew,18,0.07172552
S4_mean,18,0.090765245
S3_margin,18,0.13229226
S3_shape,18,0.083652675
S3_crest,18,0.10997162
S3_p2p,18,0.126756
S3_kurt,18,0.1186117
S2_std,18,0.108055204
S1_impulse,18,0.10650743
S4_crest,17,0.089060314
S2_kurt,17,0.12672162
S4_var,17,0.08554756
S1_mean,17,0.081056364
S3_std,16,0.07843885
S2_rms,16,0.10713374
S1_std,16,0.08993863
S4_margin,16,0.08640526
S2_crest,15,0.099660754
