equation,mean_healthy,mean_broken,fault_ratio
z_06,0.00018093878,0.002930084,16.193787
z_19,1.6324077e-05,9.593614e-05,5.8769712
z_21,1.5744374e-05,6.132443e-05,3.8950052
z_09,9.588231e-06,3.6047782e-05,3.759586
z_15,4.1906355e-06,1.4927851e-05,3.562192
z_16,7.9311385e-06,2.4099767e-05,3.038626
z_13,1.5817212e-05,4.054596e-05,2.5634074
z_17,0.00012507757,0.00031030033,2.480863
z_04,1.0751458e-05,2.6532023e-05,2.4677603
z_02,4.2017164e-05,9.5600655e-05,2.2752762
z_07,3.9406892e-05,7.970589e-05,2.0226383
z_01,6.65643e-06,1.32083305e-05,1.9842962
z_20,3.1876723e-05,4.7312802e-05,1.4842429
z_00,8.811511e-06,1.2129602e-05,1.376563
z_18,6.325363e-05,7.9459474e-05,1.2562041
z_11,4.819633e-05,6.047358e-05,1.2547342
z_05,1.4750418e-05,1.6971318e-05,1.1505651
z_14,1.8762683e-05,1.9129995e-05,1.0195767
z_10,9.236528e-06,9.217787e-06,0.9979709
z_12,1.1153571e-05,1.0902421e-05,0.9774825
z_03,1.2223923e-05,1.1858301e-05,0.9700896
z_08,7.765659e-06,6.078223e-06,0.7827053
