out_neuron,in_feat_idx,in_feature,best_symbol,params,r2,fit_mse,bic
0,1,S1_rms,quadratic,"[0.045178547953625275, 0.10716298543169508, -0.00037233349441213013]",0.9999889572311568,1.491142853637939e-08,-3588.332628327746
0,2,S1_std,quadratic,"[0.010149115329896808, 0.024157804912315207, -3.802751146073605e-05]",0.9999920462572325,5.446946227394278e-10,-4250.264208611339
0,3,S1_var,quadratic,"[0.05073682071472873, 0.11945205759288462, -0.0003538539250045487]",0.9999894847825347,1.8507126497979698e-08,-3545.127040486716
0,4,S1_skew,quadratic,"[-0.006391696691594423, -0.015441940272267562, 5.678410320363129e-05]",0.9999874887225797,3.3271402299916986e-10,-4348.852604842677
0,5,S1_kurt,quadratic,"[-0.01885870124331924, -0.04394710523103979, 0.00011298633487218243]",0.9999903606590527,2.591152625797122e-09,-3938.33765409352
0,6,S1_p2p,quadratic,"[-0.015827515253843214, -0.03734048248311386, 0.00012213963895436994]",0.9999878312911428,1.984601150084586e-09,-3991.6746228891757
0,9,S1_margin,quadratic,"[-0.05143639260068273, -0.12085533403640435, 0.000369129131475141]",0.9999898635300056,1.8964204429039455e-08,-3540.2475703236637
0,11,S2_mean,quadratic,"[-0.00602677702662722, -0.014275199107358428, 4.5608974304869586e-05]",0.9999876204585424,2.449964398021365e-10,-4410.060535282207
0,12,S2_rms,quadratic,"[0.015412790135121993, 0.036674972372326295, -0.0001310251346860119]",0.9999879701729212,1.7667403096055523e-09,-4014.9309721489235
0,14,S2_var,quadratic,"[0.005989854210569921, 0.014467059285439262, -6.68408864209228e-05]",0.999983748475206,3.760104727579261e-10,-4324.385871869747
0,15,S2_skew,quadratic,"[-0.009718351770828913, -0.023203021598934392, 6.922916863852466e-05]",0.9999875984781388,7.045403704886155e-10,-4198.800144397604
0,17,S2_p2p,quadratic,"[-0.008587944523216384, -0.0203570535658606, 8.250360364653687e-05]",0.9999897937073946,5.146220116714062e-10,-4261.622736433034
0,18,S2_crest,quadratic,"[-0.020678623026256022, -0.04915528461685655, 0.00017373425740427356]",0.9999890268849582,3.0831426300892417e-09,-3903.5683330411052
0,19,S2_shape,quadratic,"[-0.020490277867852985, -0.04825405472826725, 0.0001500497910710311]",0.9999902005115543,2.957420974780689e-09,-3911.894696042362
0,20,S2_margin,quadratic,"[-0.027672713694506374, -0.06584477465226618, 0.00027692290794108503]",0.999987460553799,6.5931531345597705e-09,-3751.5518739492427
0,21,S2_impulse,quadratic,"[-0.014374358427011784, -0.033554000505962474, 7.703934708693086e-05]",0.999989877497378,1.3832984757655709e-09,-4063.864045886586
0,22,S3_mean,quadratic,"[-0.041904003573555365, -0.0999438910298813, 0.0003544025413099753]",0.9999877339165406,1.3785238728303284e-08,-3604.0385428292175
0,23,S3_rms,quadratic,"[0.04095345626042233, 0.09766934773930352, -0.0003747031114440982]",0.9999896262791453,1.3705300894173433e-08,-3605.2016783737795
0,24,S3_std,quadratic,"[-0.006618547658286953, -0.015805669151924218, 5.467860266402646e-05]",0.9999881126512665,4.111829765562902e-10,-4306.501608314344
0,25,S3_var,quadratic,"[0.00600941888765939, 0.01430685261379542, -5.123341605102007e-05]",0.9999910689534851,2.495575412986284e-10,-4406.371368076308
0,26,S3_skew,quadratic,"[-0.010672911402755988, -0.025059582335938864, 8.078296651754574e-05]",0.9999880800173717,7.469090346212681e-10,-4187.120590396264
0,27,S3_kurt,quadratic,"[-0.051130149364937025, -0.12045879807488848, 0.00038392116793203006]",0.9999900967961749,1.8511750354832657e-08,-3545.0770783347525
0,29,S3_crest,quadratic,"[-0.06470109232908793, -0.15279493952121476, 0.0004953766696276086]",0.9999893411528932,2.9671305412648508e-08,-3450.7221290766706
0,31,S3_margin,quadratic,"[-0.06124090513547008, -0.14385951655770915, 0.0005051388315416763]",0.9999894405062706,2.647367658425992e-08,-3473.528034716928
0,32,S3_impulse,quadratic,"[-0.007257210837342465, -0.017175958106246933, 6.851463332559722e-05]",0.9999894124933504,3.746661036974075e-10,-4325.102223246584
0,33,S4_mean,quadratic,"[-0.013549276510919287, -0.03212465857894117, 5.250502849321031e-05]",0.9999900101849523,1.2368264190598666e-09,-4086.2484634014354
0,34,S4_rms,quadratic,"[0.013782010477737305, 0.03273565146981941, -0.00011385424821672105]",0.9999894769400859,1.4912280299483882e-09,-4048.8382229536423
0,35,S4_std,quadratic,"[0.04456344478118376, 0.10597228725086137, -0.0003498567966604889]",0.9999892752146216,1.5922021034953104e-08,-3575.2175909315247
0,36,S4_var,quadratic,"[0.03258351663430178, 0.07697720695012873, -0.00024024115798063948]",0.9999894557901977,8.256204608869666e-09,-3706.565216993001
0,37,S4_skew,quadratic,"[0.03453662421135398, 0.08139878414617881, -0.00027210852528192296]",0.9999894157693031,8.155326192138546e-09,-3709.0239684278313
0,39,S4_p2p,quadratic,"[0.017139249448797675, 0.040373202344833284, -0.00015303367687375698]",0.9999892744262866,2.0368831066264192e-09,-3986.4740651826464
0,40,S4_crest,quadratic,"[0.014891876243966717, 0.03516897885771227, -5.955270388834482e-05]",0.9999897255860429,1.7134424989961872e-09,-4021.057314462308
0,41,S4_shape,quadratic,"[-0.03304799488727153, -0.07798479797972303, 0.00025694418469453365]",0.9999894866179018,7.788987232970612e-09,-3718.2160467243857
0,42,S4_margin,quadratic,"[0.013861008063731141, 0.03245444869321594, -0.00010222007331944369]",0.9999899138641091,1.4082928156966545e-09,-4060.2825749281124
0,43,S4_impulse,quadratic,"[0.03166507307355803, 0.07418938428829702, -0.00018727622412272784]",0.9999909251180041,6.6847327673258405e-09,-3748.7929683326524
1,0,S1_mean,quadratic,"[0.04552135732858784, 0.10745814865535701, -0.0003419898364916324]",0.9999879672950064,1.360748225209818e-08,-3606.6342538792674
1,1,S1_rms,quadratic,"[-0.00697476045078727, -0.016534093184843245, 5.5725217967276714e-05]",0.999988571877898,3.674866522196396e-10,-4328.971871585564
1,2,S1_std,quadratic,"[0.02637440564350242, 0.06252905776102412, -0.0002234750861900921]",0.9999884277507086,5.321913576494808e-09,-3794.391628587893
1,3,S1_var,quadratic,"[0.013567388497341827, 0.03177441164253172, -6.923405981205369e-05]",0.9999908096613114,1.14806519846411e-09,-4101.142597415255
1,4,S1_skew,quadratic,"[0.015915843278088634, 0.03796737689522141, -0.00013374305914975855]",0.9999895083133079,1.6995143070630547e-09,-4022.68971358683
1,5,S1_kurt,quadratic,"[-0.010029839366287829, -0.023613817590840955, 8.322210443278386e-05]",0.9999887596306936,8.672110252128107e-10,-4157.252802250021
