Feature,Importance
S1_rms,0.16590506
S2_p2p,0.14286421
S3_mean,0.13990915
S1_shape,0.13966435
S1_std,0.13724646
S3_p2p,0.1362072
S2_rms,0.12895434
S3_var,0.12747249
S1_p2p,0.12676401
S3_std,0.12401489
S4_std,0.123032436
S2_std,0.11760621
S4_var,0.11273421
S2_shape,0.108013496
S3_shape,0.10492305
S2_skew,0.10419782
S4_rms,0.1008458
S4_mean,0.09418339
S4_skew,0.09413932
S2_mean,0.09206481
S1_mean,0.0913917
S1_var,0.09030815
S3_skew,0.0891494
S3_rms,0.088334754
S2_crest,0.088304006
S2_var,0.08683839
S4_shape,0.08642107
S1_crest,0.08540732
S3_crest,0.08065457
S1_skew,0.08000056
S1_impulse,0.079766646
S2_impulse,0.07809873
S2_kurt,0.07679905
S4_p2p,0.06949495
S4_impulse,0.06768334
S4_crest,0.065570444
S3_impulse,0.05909039
S1_kurt,0.058204904
S3_kurt,0.04441726
S4_kurt,0.04123023
