Feature,Importance
S1_rms,0.16345371
S2_p2p,0.1405989
S1_shape,0.13775258
S3_mean,0.13658997
S1_std,0.13419351
S3_p2p,0.13391456
S2_rms,0.12528521
S1_p2p,0.12486421
S3_var,0.1224996
S3_std,0.12155795
S4_std,0.11926821
S2_std,0.11451496
S4_var,0.10885844
S2_shape,0.10648671
S3_shape,0.10264271
S2_skew,0.10177086
S4_rms,0.09642994
S4_skew,0.09159738
S4_mean,0.089738004
S2_mean,0.08933999
S1_var,0.08838691
S1_mean,0.08818081
S3_skew,0.086783946
S2_crest,0.08675943
S3_rms,0.086545855
S4_shape,0.08455615
S1_crest,0.084489
S2_var,0.08344185
S1_impulse,0.078661695
S2_impulse,0.07747768
S1_skew,0.07729576
S3_crest,0.07723571
S2_kurt,0.07624793
S4_p2p,0.066490695
S4_impulse,0.06631063
S4_crest,0.06257198
S3_impulse,0.056878
S1_kurt,0.05636636
S3_kurt,0.04314964
S4_kurt,0.040315438
