W,Model,AUC,F1,Precision,Recall,Threshold
300,IsolationForest,0.8197775939711424,0.9068848758465011,0.8593582887700535,0.9599761051373955,-0.07401949430016247
300,OC-SVM,0.9137711230349774,0.9262792714657415,0.8974789915966387,0.956989247311828,-2.2267850425423954
300,LOF,0.9577244738535061,0.9503214494447692,0.9302059496567505,0.9713261648745519,-0.3857059967576979
400,IsolationForest,0.8779349792431324,0.9263873159682899,0.8802008608321378,0.9776892430278884,-0.062933678607002
400,OC-SVM,0.9333500643096904,0.9382716049382716,0.9094988780852655,0.9689243027888447,-1.4367030703705566
400,LOF,0.9587204985830955,0.9468675654242664,0.9423835832675612,0.951394422310757,-0.35814737396623103
500,IsolationForest,0.8901112249185839,0.9274116523400191,0.8891941391941391,0.969061876247505,-0.04073225135269935
500,OC-SVM,0.9493447315894527,0.9486049926578561,0.930835734870317,0.9670658682634731,-0.723122023821337
500,LOF,0.9605952568547116,0.9574572127139365,0.9386385426653883,0.9770459081836327,-0.3678450765860971
600,IsolationForest,0.935698677617451,0.9482257126236184,0.9229898074745186,0.9748803827751196,-0.034270294765126594
600,OC-SVM,0.9754078288060882,0.9673202614379085,0.961038961038961,0.9736842105263158,-0.41882402369964833
600,LOF,0.9764815582262744,0.9672131147540983,0.9472477064220184,0.9880382775119617,-0.3486604802561915
700,IsolationForest,0.9632430553767731,0.9693251533742331,0.9467376830892144,0.9930167597765364,-0.02018582959419249
700,OC-SVM,0.9868702211466673,0.9821182943603851,0.967479674796748,0.9972067039106145,-0.19491193579790123
700,LOF,0.9862652215328374,0.9783065080475857,0.9803646563814866,0.9762569832402235,-0.28238860833546875
800,IsolationForest,0.9659531604129942,0.9609375,0.9418070444104135,0.9808612440191388,-0.014604552476950805
800,OC-SVM,0.9902459498027365,0.9814665592264303,0.99185667752443,0.9712918660287081,0.4741988821025367
800,LOF,0.9911105514983631,0.9912490055688147,0.9888888888888889,0.9936204146730463,-0.22362395601096885
900,IsolationForest,0.9826522048590824,0.9814651368049426,0.9652777777777778,0.9982046678635548,-0.00031388400107763836
900,OC-SVM,0.9996388089192951,0.9946428571428572,0.9893428063943162,1.0,0.4458061696653757
900,LOF,0.9981090584598387,0.9883824843610366,0.9839857651245552,0.992818671454219,-0.1994949127133579
1000,IsolationForest,0.9872631578947368,0.9829488465396189,0.9859154929577465,0.98,0.024520157259003722
1000,OC-SVM,0.9993552631578947,0.9889224572004028,0.9959432048681541,0.982,0.6793116510622297
1000,LOF,0.9995131578947368,0.9910802775024777,0.9823182711198428,1.0,-0.20091588153293877
