W,Model,AUC,F1,Precision,Recall,Threshold
300,PatchCore,0.8339684088236611,0.8703345313795964,0.8100874935666496,0.94026284348865,1.8745132171356576
300,Autoencoder,0.9370144146819084,0.938560561732007,0.9197247706422018,0.9581839904420548,0.0385605357587337
400,PatchCore,0.920061486338112,0.9146245059288538,0.9074509803921568,0.9219123505976096,2.269734767777055
400,Autoencoder,0.95281864667315,0.9425742574257424,0.937007874015748,0.9482071713147412,0.1075029373168945
500,PatchCore,0.9058002416220192,0.9083782459578638,0.8922040423484119,0.9251497005988024,2.311143488257529
500,Autoencoder,0.956895419686942,0.9451518119490696,0.9278846153846154,0.9630738522954092,0.0931316316127777
600,PatchCore,0.8645358474927477,0.8784313725490196,0.8261327713382508,0.937799043062201,2.166322799783614
600,Autoencoder,0.9380062540029386,0.9457725947521866,0.9226393629124005,0.9700956937799045,0.1646811217069625
700,PatchCore,0.9409739206549442,0.9307207837648706,0.9326788218793828,0.9287709497206704,2.6119388255513263
700,Autoencoder,0.9842249568776872,0.974465148378192,0.9631650750341064,0.9860335195530726,0.1466735750436782
800,PatchCore,0.9753294720053725,0.9596122778675282,0.972176759410802,0.9473684210526316,2.7500855164007154
800,Autoencoder,0.985024762864098,0.967391304347826,0.9425113464447806,0.9936204146730464,0.1882649809122085
900,PatchCore,0.9876876334547926,0.9678571428571427,0.9626998223801064,0.9730700179533214,2.7489275879464694
900,Autoencoder,0.9987783242858508,0.9883824843610366,0.9839857651245552,0.992818671454219,0.2086556255817413
1000,PatchCore,0.9841315789473684,0.9640718562874252,0.9621513944223108,0.966,2.7518999076086668
1000,Autoencoder,0.9551052631578948,0.957801766437684,0.9402697495183044,0.976,0.3269400596618652
300,VAE,0.8358288618834524,0.9054945054945055,0.8382502543234995,0.984468339307049,0.28056392073631287
300,DeepSVDD,0.8694584066792505,0.8804576934658236,0.8876745598057073,0.8733572281959379,6.476519774878398e-05
300,TeacherStudent,0.8632325460282451,0.9015109121432568,0.8478947368421053,0.9623655913978495,0.0012396742822602391
300,SSL_DAE,0.9679551983108641,0.9592494869539725,0.9418537708693149,0.977299880525687,0.09756970405578613
400,VAE,0.8529284437054931,0.9045771916214119,0.8813303099017384,0.9290836653386454,0.4173867702484131
400,DeepSVDD,0.8542669218140561,0.8866290018832391,0.8407142857142857,0.9378486055776892,4.550732046482153e-05
400,TeacherStudent,0.9372023716158986,0.9435294117647058,0.9289575289575289,0.9585657370517928,0.0032995683141052723
400,SSL_DAE,0.9800964122512574,0.9664429530201343,0.9577464788732394,0.9752988047808765,0.11425328999757767
500,VAE,0.8791561613614877,0.922211808809747,0.8692579505300353,0.9820359281437125,0.37903890013694763
500,DeepSVDD,0.9227498949469481,0.9086584205518554,0.8681818181818182,0.9530938123752495,8.984864689409733e-05
500,TeacherStudent,0.9443612774451097,0.9453125,0.9254302103250478,0.9660678642714571,0.003362741321325302
500,SSL_DAE,0.9523124803025529,0.9612027158098934,0.9349056603773584,0.9890219560878244,0.12812460958957672
600,VAE,0.922931658064273,0.9369475545079552,0.9233449477351916,0.9509569377990431,0.5931611657142639
600,DeepSVDD,0.7967354858154693,0.8681204569055037,0.7669724770642202,1.0,1.2460964171623345e-07
600,TeacherStudent,0.9832206231398108,0.9701579871269749,0.9495990836197021,0.9916267942583732,0.004900805186480284
600,SSL_DAE,0.9699873789699732,0.9699823425544438,0.9548088064889919,0.9856459330143541,0.16197705268859863
700,VAE,0.9416239734315064,0.9502018842530283,0.9168831168831169,0.9860335195530726,0.5788980722427368
700,DeepSVDD,0.8888087943773653,0.8970792767732962,0.8933518005540166,0.9008379888268156,0.00020046142162755132
700,TeacherStudent,0.9668666168936487,0.9530201342281879,0.917312661498708,0.9916201117318436,0.005034316796809435
700,SSL_DAE,0.9873979867672424,0.9867595818815331,0.9847009735744089,0.9888268156424581,0.22348147630691528
800,VAE,0.9610173759758247,0.9602494154325799,0.9390243902439024,0.9824561403508771,0.6451769471168518
800,DeepSVDD,0.813758079409049,0.868421052631579,0.7674418604651163,1.0,2.034456201727153e-06
800,TeacherStudent,0.9934357424662134,0.9842767295597484,0.9705426356589147,0.9984051036682615,0.008826332166790962
800,SSL_DAE,0.9880970368504994,0.9764890282131662,0.9599383667180277,0.9936204146730463,0.2243976891040802
900,VAE,0.9840332295794249,0.9778565101860053,0.965034965034965,0.9910233393177738,1.163739800453186
900,DeepSVDD,0.8675915991203935,0.8682774746687452,0.7672176308539945,1.0,8.432451068074442e-06
900,TeacherStudent,0.995123920410483,0.984070796460177,0.9703315881326352,0.9982046678635548,0.010112171061336994
900,SSL_DAE,0.9972485738263945,0.9893048128342246,0.9823008849557522,0.9964093357271095,0.25380149483680725
1000,VAE,0.991907894736842,0.984251968503937,0.9689922480620154,1.0,1.0719691514968872
1000,DeepSVDD,0.9965263157894736,0.9870646766169154,0.9821782178217822,0.992,0.0014664853224530816
1000,TeacherStudent,0.9841710526315789,0.9717073170731707,0.9485714285714286,0.996,0.008269351907074451
1000,SSL_DAE,0.9907236842105263,0.9851924975320829,0.9727095516569201,0.998,0.45885536074638367
